eos_id,family_group_id,model_family,underlying_primary_title,underlying_primary_url,source_reference_numbers,transition_pressure_mev_fm3,exact_formula_primary_verified,provenance_note,matter_class,parameter_block_id,model_superfamily_id,fit_source_title,fit_source_url,bag_b_mev_fm3,gap_delta_mev,strange_mass_mev,published_mmax_msun,published_r_at_mmax_km
CFL1,Q_CFL1,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,60.0,50.0,0.0,2.051,11.08
CFL2,Q_CFL2,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,60.0,50.0,150.0,1.83,10.09
CFL3,Q_CFL3,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,60.0,100.0,0.0,2.357,12.38
CFL4,Q_CFL4,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,60.0,100.0,150.0,2.127,11.41
CFL5,Q_CFL5,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,60.0,150.0,0.0,2.842,14.24
CFL6,Q_CFL6,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B060,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,60.0,150.0,150.0,2.631,13.46
CFL7,Q_CFL7,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B080,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,80.0,100.0,0.0,1.994,10.52
CFL8,Q_CFL8,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B080,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,80.0,100.0,150.0,1.821,9.79
CFL9,Q_CFL9,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B080,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,80.0,150.0,0.0,2.365,11.98
CFL10,Q_CFL10,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B080,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,80.0,150.0,150.0,2.202,11.36
CFL11,Q_CFL11,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,100.0,50.0,0.0,1.571,8.51
CFL12,Q_CFL12,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,100.0,100.0,0.0,1.754,9.29
CFL13,Q_CFL13,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,100.0,100.0,150.0,1.616,8.7
CFL14,Q_CFL14,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,100.0,150.0,0.0,2.055,10.49
CFL15,Q_CFL15,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B100,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,100.0,150.0,150.0,1.922,9.98
CFL16,Q_CFL16,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B120,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,120.0,100.0,0.0,1.582,8.4
CFL17,Q_CFL17,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B120,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,120.0,150.0,0.0,1.834,9.42
CFL18,Q_CFL18,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B120,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,120.0,150.0,150.0,1.722,8.98
CFL19,Q_CFL19,analytic CFL MIT-bag,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,"Vasquez Flores & Lugones (2017), Tables I-II",0.0,True,"Tuple and reference maximum-star values are published in the primary source; repository uses its O(m_s^2, Delta^2) analytic EoS.",quark,Q_CFL_B140,Q_ANALYTIC_CFL_MIT_BAG,Constraining color flavor locked strange stars in the gravitational wave era,https://arxiv.org/abs/1702.02081,140.0,150.0,0.0,1.667,8.6
